id	Non-malignant	Non-malignant	Claudin-low	Non-malignant	Claudin-low	Non-malignant	Claudin-low	Claudin-low	Claudin-low	Non-malignant	Claudin-low
ENSG00000131746.11	5.924950743	5.814070829	0.048790164	6.164345851	0.652325186	5.719491768	0.207014169	0.09531018	0.09531018	6.145215147	0.086177696
ENSG00000065618.15	5.86451147	6.303717273	0.113328685	5.342047129	1.057790294	5.394808667	0	0.048790164	0.31481074	5.810991281	1.00063188
ENSG00000128422.14	7.564642958	8.679981885	0.996948635	8.059133943	0.371563556	7.452158802	0	0.78845736	0.357674444	8.829036028	1.311031877
ENSG00000111319.11	5.956536607	5.514355736	0.708035793	5.010568625	1.289232648	4.827032917	0.207014169	0.086177696	1.178654996	4.947837479	1.036736885
ENSG00000189334.7	6.542932949	6.857598181	0.113328685	6.339018017	0	5.681025488	0.418710335	0	0.727548607	6.894051814	0.444685821
ENSG00000076826.8	2.32825284	2.537657215	0.657520003	2.063058062	0.048790164	2.068127782	0.113328685	0.21511138	0.364643114	2.403334996	0.636576829
ENSG00000137699.15	5.559873612	6.432763228	0.451075619	5.66216155	0.139761942	5.231162091	0.246860078	0.405465108	0.198850859	5.463662299	0.896088025
ENSG00000053747.14	4.891175854	4.354012888	0.815364813	5.201035244	0.122217633	5.762742967	0.741937345	1.444563269	1.050821625	5.140551828	0.039220713
ENSG00000205420.9	7.648858943	8.316710923	0.285178942	7.123414895	0.131028262	8.112155992	0.09531018	0.470003629	2.723267167	8.736707766	0.173953307
ENSG00000132470.12	6.795101566	6.295856233	0.482426149	6.56498324	2.38416508	5.466751268	1.44926916	0.277631737	1.184789985	6.798609832	0.58221562
ENSG00000039068.17	4.103304304	4.971409248	1.220829921	3.739810183	0	4.078384543	0.819779831	0.009950331	0.451075619	4.481985085	0.862889955
ENSG00000148671.12	5.560835465	6.432152001	0.717839793	5.173264218	0.482426149	5.879750557	1.366091654	0.418710335	0	4.922678015	0.378436436
ENSG00000103067.10	3.401863826	3.849083206	0.350656872	3.978185208	0.357674444	3.084200922	0.896088025	0.19062036	0.350656872	3.651696663	0.322083499
ENSG00000130545.14	3.000719815	3.575430762	0.207014169	2.818398258	0.751416089	2.646883766	0.086177696	0	0	3.122805356	0.122217633
ENSG00000159166.12	5.0193968	5.04908648	0.343589704	5.025064031	0	4.149936936	0.39877612	0.625938431	0	5.308713143	0.19062036
ENSG00000271447.4	4.603468739	4.66494739	NA	3.739810183	NA	3.972176928	0.09531018	NA	1.589235205	4.344194956	0.067658648
ENSG00000188910.7	4.595018835	4.372481222	0.198850859	4.725704988	0	4.687395126	0.086177696	0.058268908	0.076961041	5.113372372	0
ENSG00000115112.7	3.579901292	3.809547214	0.039220713	3.066656612	0.385262401	3.801761611	0.165514438	0.009950331	1.337629189	3.052112607	0.131028262
ENSG00000197565.14	3.074543454	2.880321422	0.207014169	3.284663565	0.058268908	2.380471632	0.90016135	0.672944473	0.058268908	2.7631695	0.565313809
ENSG00000166145.13	4.801559	5.374907969	0.652325186	4.369954053	0.292669614	5.10800396	1.064710737	0.231111721	0.970778917	4.071246511	0.19062036
